freq_hz,beamwidth_6db_deg,db_30,db_45,db_60
1000.0,,-0.6906559772802017,-1.4006447014949888,-2.131670735547054
1200.0,,-1.0005736977697142,-2.042774688329133,-3.1321937713041614
1300.0,,-1.1783824186348422,-2.4153744571743707,-3.7205289124298186
1400.0,171.2,-1.3718533423966641,-2.8244720885029766,-4.373707336582801
1500.0,137.2,-1.5813571974689602,-3.272017357279048,-5.0976639487138655
1600.0,121.6,-1.8073085028003224,-3.7602993349068816,-5.899799693456504
1800.0,101.8,-2.310458755478314,-4.870376709633216,-7.778765652691142
2000.0,88.6,-2.885691012219844,-6.183128819537062,-10.125363329299784
2500.0,68.0,-4.678640408354373,-10.684076708620008,-20.26170439901346
3000.0,55.6,-7.095035419516633,-18.69430354952727,-25.49547200722327
